;Segmento;data;cod_sap;qtd
0;VAREJO;202305;1065243;298,0
1;EMPRESARIAL;202305;1065243;157,0
2;VAREJO;202305;1065023;77,0
3;VAREJO;202305;1065244;77,0
4;VAREJO;202305;1064459;71,0
5;VAREJO;202305;1064477;59,0
6;EMPRESARIAL;202305;1065244;55,0
7;VAREJO;202305;1064481;53,0
8;VAREJO;202305;1065355;47,0
9;VAREJO;202305;1065265;43,0
10;VAREJO;202305;1065216;40,0
11;VAREJO;202305;1065351;35,0
12;VAREJO;202305;1064466;34,0
13;VAREJO;202305;1065207;29,0
14;VAREJO;202305;1065108;28,0
15;VAREJO;202305;1064536;28,0
16;VAREJO;202305;1065225;28,0
17;VAREJO;202305;1065211;27,0
18;VAREJO;202305;1064468;25,0
19;VAREJO;202305;1065313;25,0
20;EMPRESARIAL;202305;1065313;24,0
21;VAREJO;202305;1065107;23,0
22;EMPRESARIAL;202305;1065331;22,0
23;VAREJO;202305;1065110;21,0
24;VAREJO;202305;1063546;19,0
25;EMPRESARIAL;202305;1064572;18,0
26;VAREJO;202305;1063564;17,0
27;VAREJO;202305;1064470;17,0
28;EMPRESARIAL;202305;1062841;17,0
29;VAREJO;202305;1060385;16,0
30;VAREJO;202305;1065414;16,0
31;VAREJO;202305;1065203;15,0
32;VAREJO;202305;1065153;15,0
33;VAREJO;202305;1065283;15,0
34;VAREJO;202305;1063568;15,0
35;VAREJO;202305;1064462;14,0
36;VAREJO;202305;1065109;14,0
37;VAREJO;202305;1064473;13,0
38;VAREJO;202305;1065134;13,0
39;VAREJO;202305;1065418;12,0
40;VAREJO;202305;1065139;12,0
41;VAREJO;202305;1064507;12,0
42;VAREJO;202305;1063557;12,0
43;VAREJO;202305;1064482;12,0
44;VAREJO;202305;1064479;11,0
45;EMPRESARIAL;202305;1054871;11,0
46;EMPRESARIAL;202305;1065454;11,0
47;VAREJO;202305;;11,0
48;VAREJO;202305;1064933;11,0
49;VAREJO;202305;1065189;11,0
50;VAREJO;202305;1065138;11,0
51;VAREJO;202305;1064467;11,0
52;VAREJO;202305;1064756;11,0
53;VAREJO;202305;1064591;11,0
54;VAREJO;202305;1065162;10,0
55;VAREJO;202305;1064471;10,0
56;VAREJO;202305;1064464;10,0
57;VAREJO;202305;1065226;9,0
58;VAREJO;202305;1065076;9,0
59;VAREJO;202305;1065135;9,0
60;VAREJO;202305;1065363;9,0
61;VAREJO;202305;1065235;8,0
62;VAREJO;202305;1065405;8,0
63;VAREJO;202305;1065360;8,0
64;VAREJO;202305;1064988;8,0
65;VAREJO;202305;1065204;8,0
66;VAREJO;202305;1065455;8,0
67;VAREJO;202305;1063553;8,0
68;VAREJO;202305;1065217;8,0
69;EMPRESARIAL;202305;1065457;7,0
70;VAREJO;202305;1065401;7,0
71;EMPRESARIAL;202305;1065456;7,0
72;VAREJO;202305;1065078;7,0
73;VAREJO;202305;1065208;7,0
74;VAREJO;202305;1064472;7,0
75;EMPRESARIAL;202305;1064645;7,0
76;VAREJO;202305;1064480;7,0
77;VAREJO;202305;1065284;7,0
78;VAREJO;202305;1065261;6,0
79;EMPRESARIAL;202305;1064591;6,0
80;VAREJO;202305;1063569;6,0
81;EMPRESARIAL;202305;1065153;6,0
82;VAREJO;202305;1065077;6,0
83;VAREJO;202305;1065210;6,0
84;VAREJO;202305;1065018;6,0
85;EMPRESARIAL;202305;1065455;6,0
86;EMPRESARIAL;202305;1064589;6,0
87;VAREJO;202305;1065079;6,0
88;VAREJO;202305;1064757;6,0
89;VAREJO;202305;1065106;5,0
90;VAREJO;202305;1065396;5,0
91;VAREJO;202305;1064934;5,0
92;VAREJO;202305;1065399;5,0
93;VAREJO;202305;1064590;5,0
94;VAREJO;202305;1065154;5,0
95;VAREJO;202305;1065403;5,0
96;VAREJO;202305;1065438;5,0
97;VAREJO;202305;1064475;5,0
98;VAREJO;202305;1065136;5,0
99;VAREJO;202305;1065407;5,0
100;VAREJO;202305;1063558;5,0
101;EMPRESARIAL;202305;1064569;5,0
102;VAREJO;202305;1064485;5,0
103;VAREJO;202305;1065140;4,0
104;VAREJO;202305;1064754;4,0
105;EMPRESARIAL;202305;1064644;4,0
106;EMPRESARIAL;202305;1064665;4,0
107;VAREJO;202305;1065105;4,0
108;EMPRESARIAL;202305;1065189;4,0
109;VAREJO;202305;1064758;4,0
110;VAREJO;202305;1063554;4,0
111;VAREJO;202305;1064759;4,0
112;VAREJO;202305;1063555;4,0
113;VAREJO;202305;1065359;4,0
114;VAREJO;202305;1063566;4,0
115;EMPRESARIAL;202305;1064573;4,0
116;VAREJO;202305;1065142;4,0
117;VAREJO;202305;1033422;4,0
118;VAREJO;202305;1064755;4,0
119;VAREJO;202305;1065456;4,0
120;EMPRESARIAL;202305;1062835;4,0
121;EMPRESARIAL;202305;1065216;4,0
122;EMPRESARIAL;202305;1065332;4,0
123;VAREJO;202305;1065358;3,0
124;VAREJO;202305;1063551;3,0
125;VAREJO;202305;1065357;3,0
126;EMPRESARIAL;202305;1065346;3,0
127;VAREJO;202305;1065404;3,0
128;VAREJO;202305;1065361;3,0
129;EMPRESARIAL;202305;1062941;3,0
130;VAREJO;202305;1063549;3,0
131;EMPRESARIAL;202305;1064642;3,0
132;EMPRESARIAL;202305;1064667;3,0
133;EMPRESARIAL;202305;1065355;3,0
134;EMPRESARIAL;202305;1064593;3,0
135;EMPRESARIAL;202305;1064566;3,0
136;VAREJO;202305;1065264;3,0
137;VAREJO;202305;1064469;3,0
138;EMPRESARIAL;202305;1064477;3,0
139;VAREJO;202305;1065145;2,0
140;VAREJO;202305;1063556;2,0
141;VAREJO;202305;1064644;2,0
142;VAREJO;202305;1063562;2,0
143;EMPRESARIAL;202305;1064570;2,0
144;VAREJO;202305;1064412;2,0
145;EMPRESARIAL;202305;1065207;2,0
146;EMPRESARIAL;202305;1065264;2,0
147;EMPRESARIAL;202305;1065164;2,0
148;VAREJO;202305;1064912;2,0
149;VAREJO;202305;1065410;2,0
150;EMPRESARIAL;202305;1064567;2,0
151;VAREJO;202305;1056126;2,0
152;EMPRESARIAL;202305;1064590;2,0
153;EMPRESARIAL;202305;1064866;2,0
154;VAREJO;202305;1063559;2,0
155;VAREJO;202305;1065132;2,0
156;VAREJO;202305;1065263;2,0
157;EMPRESARIAL;202305;1064592;2,0
158;VAREJO;202305;1065454;2,0
159;VAREJO;202305;1065421;2,0
160;VAREJO;202305;1064689;2,0
161;VAREJO;202305;1065400;2,0
162;VAREJO;202305;1065206;2,0
163;EMPRESARIAL;202305;1064372;2,0
164;EMPRESARIAL;202305;1063747;2,0
165;EMPRESARIAL;202305;1033422;2,0
166;VAREJO;202305;1064465;2,0
167;VAREJO;202305;1065141;2,0
168;VAREJO;202305;1065075;2,0
169;VAREJO;202305;1065402;2,0
170;EMPRESARIAL;202305;1065402;2,0
171;EMPRESARIAL;202305;1064568;2,0
172;EMPRESARIAL;202305;1064757;1,0
173;EMPRESARIAL;202305;1064899;1,0
174;EMPRESARIAL;202305;1064952;1,0
175;EMPRESARIAL;202305;1065217;1,0
176;EMPRESARIAL;202305;1065358;1,0
177;VAREJO;202305;1064951;1,0
178;VAREJO;202305;1065332;1,0
179;VAREJO;202305;1065120;1,0
180;VAREJO;202305;1065457;1,0
181;EMPRESARIAL;202305;1063382;1,0
182;EMPRESARIAL;202305;1064376;1,0
183;EMPRESARIAL;202305;1064464;1,0
184;VAREJO;202305;1063560;1,0
185;VAREJO;202305;1064722;1,0
186;VAREJO;202305;1065408;1,0
187;VAREJO;202305;1064099;1,0
188;VAREJO;202305;1064445;1,0
189;EMPRESARIAL;202305;1060940;1,0
190;EMPRESARIAL;202305;1063377;1,0
191;EMPRESARIAL;202305;1063751;1,0
192;EMPRESARIAL;202305;1064363;1,0
193;VAREJO;202305;1065137;1,0
194;VAREJO;202305;1065015;1,0
195;VAREJO;202305;1060939;1,0
196;VAREJO;202305;1063567;1,0
197;EMPRESARIAL;202305;1064755;1,0
198;EMPRESARIAL;202305;1065023;1,0
199;VAREJO;202305;1064629;1,0
200;VAREJO;202305;1064718;1,0
201;VAREJO;202305;1065111;1,0
202;VAREJO;202305;1065248;1,0
203;VAREJO;202305;1065346;1,0
204;EMPRESARIAL;202305;1064594;1,0
205;EMPRESARIAL;202305;1064904;1,0
206;EMPRESARIAL;202305;1065111;1,0
207;EMPRESARIAL;202305;1065225;1,0
208;VAREJO;202305;1065246;1,0
209;EMPRESARIAL;202305;;1,0
210;VAREJO;202305;1065406;1,0
211;VAREJO;202305;1063570;1,0
212;VAREJO;202305;1065441;1,0
213;VAREJO;202305;1065234;1,0
214;VAREJO;202305;1065133;1,0
215;VAREJO;202305;1064441;1,0
216;EMPRESARIAL;202305;1065154;1,0
217;EMPRESARIAL;202305;1065208;1,0
218;EMPRESARIAL;202305;1065263;1,0
219;EMPRESARIAL;202305;1065351;1,0
220;EMPRESARIAL;202305;1065361;1,0
221;VAREJO;202305;1065119;1,0
222;VAREJO;202305;1044817;1,0
223;EMPRESARIAL;202305;1062843;1,0
224;VAREJO;202305;1065074;1,0
225;VAREJO;202305;1064463;1,0
226;EMPRESARIAL;202305;1064839;1,0
227;VAREJO;202305;1064684;1,0
228;VAREJO;202305;1065239;1,0
229;VAREJO;202305;1065198;1,0
230;VAREJO;202305;1064860;1,0
231;VAREJO;202305;1065422;1,0
232;VAREJO;202305;1065331;1,0
233;EMPRESARIAL;202305;1062832;1,0
234;EMPRESARIAL;202305;1063729;1,0
235;EMPRESARIAL;202305;1064357;1,0
236;EMPRESARIAL;202305;1064366;1,0
237;VAREJO;202305;1065364;1,0
238;VAREJO;202305;1065157;1,0
239;VAREJO;202305;1065249;1,0
240;VAREJO;202305;1065238;1,0
241;VAREJO;202305;1064476;1,0
242;VAREJO;202305;1051882;1,0
243;VAREJO;202305;1065214;1,0
244;VAREJO;202305;1064484;1,0
245;EMPRESARIAL;202305;1065077;1,0
246;EMPRESARIAL;202305;1065109;1,0
247;EMPRESARIAL;202305;1065110;1,0
248;EMPRESARIAL;202305;1051882;1,0
249;EMPRESARIAL;202305;1063732;1,0
250;EMPRESARIAL;202305;1063746;1,0
251;EMPRESARIAL;202305;1064609;1,0
252;EMPRESARIAL;202305;1064649;1,0
253;VAREJO;202305;1065412;1,0
254;VAREJO;202305;1064902;1,0
255;VAREJO;202305;1064706;1,0
256;VAREJO;202305;1063547;1,0
257;VAREJO;202305;1065440;1,0
258;VAREJO;202305;1065143;1,0
259;VAREJO;202305;1063600;1,0
260;VAREJO;202305;1042516;1,0
261;VAREJO;202305;1064739;1,0
262;VAREJO;202305;1053961;1,0
263;VAREJO;202305;1065416;1,0
264;VAREJO;202305;1065409;1,0
265;EMPRESARIAL;202305;1064756;1,0
266;EMPRESARIAL;202305;1065108;1,0
267;EMPRESARIAL;202305;1065203;1,0
268;EMPRESARIAL;202305;1065261;1,0
269;EMPRESARIAL;202305;1065284;1,0
270;EMPRESARIAL;202305;1065363;1,0
